"rfmo","flag","lon","lat","year","effort_t_hooks","catch_tot_mt","catch_tot_n","catch_bet_mt","catch_bet_n","catch_alb_mt","catch_alb_n","catch_yft_mt","catch_yft_n"
"iattc","VUT",-127.5,-42.5,2012,3,0.64,39,0.02,1,0.58,36,0.04,2
"iattc","TWN",-127.5,-42.5,2021,30.88,3.56,365,0,0,3.56,365,0,0
"iattc","VUT",-127.5,-42.5,2021,6.5,0,26,0,0,0,26,0,0
"iattc","TWN",-122.5,-42.5,2002,339.656,303.79,11310,161.27,4743,108.29,5667,34.23,900
"iattc","TWN",-122.5,-42.5,2003,36.217,4.97,605,0,0,4.97,605,0,0
"iattc","TWN",-122.5,-42.5,2005,467.004,236.41,25655,0,0,236.41,25655,0,0
"iattc","TWN",-122.5,-42.5,2006,11.7,2.11,235,0.1,4,1.98,229,0.03,2
"iattc","TWN",-122.5,-42.5,2007,33.972,9.21,906,0,0,9.21,906,0,0
"iattc","VUT",-122.5,-42.5,2007,109,40.24,4117,0,0,40.24,4117,0,0
"iattc","VUT",-122.5,-42.5,2010,33.3,9.26,947,0.09,4,9.09,939,0.08,4
"iattc","VUT",-122.5,-42.5,2012,15,5.25,322,0.23,9,4.84,305,0.18,8
"iattc","TWN",-122.5,-42.5,2021,29.89,2.87,200,0.38,6,2.49,194,0,0
"iattc","VUT",-122.5,-42.5,2021,20.32,0,98,0,0,0,98,0,0
"iattc","KOR",-117.5,-42.5,1999,2.4,0.7,22,0.29,7,0,0,0.41,15
"iattc","TWN",-117.5,-42.5,2003,7.032,0.03,2,0,0,0.03,2,0,0
"iattc","TWN",-117.5,-42.5,2005,157.555,78.48,7985,0,0,78.48,7985,0,0
"iattc","TWN",-117.5,-42.5,2006,7.6,1.16,102,0.02,1,1.14,101,0,0
"iattc","TWN",-117.5,-42.5,2007,107.03,28.6,3004,0,0,28.6,3004,0,0
"iattc","VUT",-117.5,-42.5,2007,126.6,33.98,3873,0,0,33.98,3873,0,0
"iattc","VUT",-117.5,-42.5,2009,14,2.1,383,0,0,2.1,383,0,0
"iattc","VUT",-117.5,-42.5,2010,9,0.59,48,0.02,1,0.57,47,0,0
"iattc","VUT",-117.5,-42.5,2012,3,0.71,42,0.07,3,0.62,38,0.02,1
"iattc","TWN",-117.5,-42.5,2020,7,0.03,5,0,0,0.03,5,0,0
"iattc","TWN",-117.5,-42.5,2021,240.15,60.65,6163,0.29,5,60.36,6158,0,0
"iattc","VUT",-117.5,-42.5,2021,27,0,767,0,0,0,767,0,0
"iattc","JPN",-112.5,-42.5,1994,15.12,0,40,0,0,0,40,0,0
"iattc","TWN",-112.5,-42.5,2005,43.98,8.44,419,0.26,4,8.11,413,0.07,2
